Year;RoundName;League;PlayerID;Player;G;PA;AB;R;H;RBI;2B;3B;HR;TB;XBH;SB;CS;Pick;BB;SO;HBP;S;SF;IBB;GIDP;2-out RBI;CI;RLISC;LOB;Teamname;RISP;BA;OBP;SLG;OPS;SBPct;PA/BB;BB/SO;SO/AB
2020;VR;NLB;4029;Rüfenacht, Pe. FRO;3;10;7;1;0;1;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;4;13;Sissach Frogs;0/6;0;0.3;0;0.3;.---;3.33;0.75;0.57
2020;VR;NLB;4038;Sanchez, Ra. LIO;12;21;19;2;4;2;0;0;0;4;0;1;0;0;1;8;0;1;0;0;0;0;0;4;13;Zürich Lions;02. Aug;0.211;0.25;0.211;0.461;1;21;0.13;0.42
2020;VR;NLB;4042;Sato, Da. CHA;9;24;17;5;6;3;0;0;0;6;0;4;1;0;4;2;2;1;0;0;0;2;0;1;6;Zürich Challengers II;02. Aug;0.353;0.522;0.353;0.875;0.8;6;2;0.12
2020;VR;NLB;4043;Savoldelli, Ce. BAR;3;8;5;1;1;2;0;0;0;1;0;2;0;0;2;2;0;0;1;0;0;0;0;1;8;Zürich Barracudas II;01. Apr;0.2;0.375;0.2;0.575;1;4;1;0.4
2020;VR;NLB;4119;Stevens, Ne. LIO;12;25;20;3;7;4;0;0;0;7;0;0;0;0;5;8;0;0;0;0;0;2;0;1;12;Zürich Lions;05. Nov;0.35;0.48;0.35;0.83;.---;5;0.63;0.4
2020;VR;NLB;4128;Streicher, Ma. LIO;16;65;53;21;19;10;2;1;0;23;3;14;0;0;7;13;4;1;0;0;0;7;0;15;17;Zürich Lions;Sep 20;0.358;0.469;0.434;0.903;1;9.29;0.54;0.25
2020;VR;NLB;4151;Traina, Al. FRO;4;10;3;5;1;0;0;0;0;1;0;1;0;0;6;1;1;0;0;0;0;2;0;0;4;Sissach Frogs;0/2;0.333;0.8;0.333;1.133;1;1.67;6;0.33
2020;VR;NLB;4152;Traina, Da. FRO;8;36;29;10;14;10;1;1;0;17;2;4;0;0;4;3;3;0;0;0;0;2;0;7;21;Sissach Frogs;Jul 20;0.483;0.583;0.586;1.17;1;9;1.33;0.1
2020;VR;NLB;4175;Vargas Fernàndez, Ro. EAG;8;31;26;8;12;8;4;0;2;22;6;1;1;0;5;1;0;0;0;0;0;1;0;3;17;Luzern Eagles II;Mai 13;0.462;0.548;0.846;1.395;0.5;6.2;5;0.04
2020;VR;NLB;4181;Voelcker, Ju. LIO;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;Zürich Lions;0/2;0;0;0;0;.---;-.--;0;0.5
2020;VR;NLB;4183;Vogel, An. EAG;5;10;8;2;2;0;0;0;0;2;0;0;0;0;2;3;0;0;0;0;0;0;0;6;9;Luzern Eagles II;01. Mai;0.25;0.4;0.25;0.65;.---;5;0.67;0.38
2020;VR;NLB;4187;Vonderschmitt, Ke. BAR;14;29;23;5;5;9;0;0;0;5;0;0;0;0;5;6;0;0;1;0;1;2;0;5;13;Zürich Barracudas II;Apr 14;0.217;0.345;0.217;0.562;.---;5.8;0.83;0.26
2020;VR;NLB;4194;Walser, Ol. MUS;10;41;26;8;7;6;0;0;0;7;0;7;1;0;11;11;2;2;0;0;0;0;0;2;20;Embrach Mustangs;Mär 16;0.269;0.513;0.269;0.782;0.875;3.73;1;0.42
2020;VR;NLB;4209;Wick, St. FRO;7;26;21;1;2;3;1;0;0;3;1;0;0;0;5;10;0;0;0;0;0;0;0;2;14;Sissach Frogs;01. Dez;0.095;0.269;0.143;0.412;.---;5.2;0.5;0.48
2020;VR;NLB;4271;Zwyer, Se. FLY;8;23;22;3;4;1;0;0;0;4;0;0;0;0;1;1;0;0;0;0;1;3;0;1;11;Therwil Flyers II;02. Jul;0.182;0.217;0.182;0.399;.---;23;1;0.05
